Product_Title,Price,Shop_Name,Category,Availability,G-Price
HAVIT RGB HV-KB862L MECHANICAL GAMING KEYBOARD,3600,COMPUTER VILLAGE,Keyboard,In Stock,3600
HAVIT KB857L RGB BACKLIT MECHANICAL GAMING KEYBOARD,2500,COMPUTER VILLAGE,Keyboard,In Stock,2500
MSI VIGOR WR01 KEYBOARD WRIST REST,1300,COMPUTER VILLAGE,Keyboard,In Stock,1300
LOGITECH WIRELESS MK345 COMBO KEYBOARD AND RIGHT-HANDED MOUSE,3699,COMPUTER VILLAGE,Keyboard,In Stock,3699
LOGITECH WIRELESS MULTI DEVICE KEYBOARD K375S AND STAND COMBO,2869,COMPUTER VILLAGE,Keyboard,In Stock,2869
ASUS CERBERUS MECH ANTI-GHOSTING N-KEY ROLLOVER RGB MECHANICAL GAMING KEYBOARD BLUE SWITCH,8800,COMPUTER VILLAGE,Keyboard,In Stock,8800
GAMDIAS HERMES M5A MECHANICAL GAMING KEYBOARD,4300,COMPUTER VILLAGE,Keyboard,In Stock,4300
GAMDIAS HERMES P2A RGB OPTICAL MECHANICAL GAMING KEYBOARD,4300,COMPUTER VILLAGE,Keyboard,In Stock,4300
GAMDIAS HERMES P3 RGB MECHANICAL GAMING KEYBOARD,6100,COMPUTER VILLAGE,Keyboard,In Stock,6100
GAMDIAS HERMES P1B RGB MECHANICAL 3 IN 1 GAMING COMBO,4500,COMPUTER VILLAGE,Keyboard,In Stock,4500
TECWARE SPECTRE PRO RGB BACKLIT MECHANICAL KEYBOARD,5800,TECHLAND,Keyboard,In Stock,5800
NZXT FUNCTION TENKEYLESSL COMPACT RGB MECHANICAL GAMING KEYBOARD (MATTE WHITE),10500,TECHLAND,Keyboard,In Stock,10500
NZXT FUNCTION TENKEYLESSL COMPACT RGB MECHANICAL GAMING KEYBOARD (MATTE BLACK),10500,TECHLAND,Keyboard,In Stock,10500
NZXT FUNCTION MINITKL COMPACT RGB MECHANICAL GAMING KEYBOARD MATTE WHITE,9700,TECHLAND,Keyboard,In Stock,9700
NZXT FUNCTION MINITKL COMPACT RGB MECHANICAL GAMING KEYBOARD ,9700,TECHLAND,Keyboard,In Stock,9700
NZXT FUNCTION COMPACT RGB MECHANICAL GAMING KEYBOARD (MATTE WHITE),12500,TECHLAND,Keyboard,In Stock,12500
NZXT FUNCTION COMPACT RGB MECHANICAL GAMING KEYBOARD (MATTE BLACK),12500,TECHLAND,Keyboard,In Stock,12500
MEETION MK80 ULTRA-THIN MECHANICAL KEYBOARD ,5800,TECHLAND,Keyboard,In Stock,5800
MEETION MK005BT DUAL MODE BLUETOOTH 60 GAMING KEYBOARD,3200,TECHLAND,Keyboard,In Stock,3200
MEETION HESTIA MK005 MECHANICAL GAMING KEYBOARD,2450,TECHLAND,Keyboard,In Stock,2450
MARVO KG962WH MECHANICAL GAMING KEYBOARD,2400,TECHLAND,Keyboard,In Stock,2400
MARVO KG962 MECHANICAL GAMING KEYBOARD,2400,TECHLAND,Keyboard,In Stock,2400
MARVO KG954 WIRED RGB MECHANICAL GAMING KEYBOARD,2350,TECHLAND,Keyboard,In Stock,2350
MARVO K606 WIRED MEMBRANE PALM REST GAMING KEYBOARD,1150,TECHLAND,Keyboard,In Stock,1150
LOGITECH MK240 NANO MOUSE AND KEYBOARD COMBO (WHITE),2600,TECHLAND,Keyboard,In Stock,2600
LOGITECH G PRO MECHANICAL KEYBOARD,12199,TECHLAND,Keyboard,In Stock,12199
ASTRUM KC100 USB WIRED KEYBOARD AND MOUSE COMBO,900,STARTECH,Keyboard,In Stock,900
IMICE AK-900 WIRED USB LUMINESCENT GAMING KEYBOARD,935,STARTECH,Keyboard,In Stock,935
HAVIT GAMENOTE KB500L MULTI-FUNCTION LED BACKLIT USB GAMING KEYBOARD BLACK,1100,STARTECH,Keyboard,In Stock,1100
HAVIT KB487L MULTI-FUNCTION USB BACKLIT GAMING KEYBOARD,950,STARTECH,Keyboard,In Stock,950
HAVIT KB505L MULTI FUNCTION USB BACKLIT GAMING KEYBOARD,1000,STARTECH,Keyboard,In Stock,1000
